Title,RunTime,IMDB RATING,Count Of Reviewers
Mahavatar Narsimha,130m,8.7,42000
Maharaja,141m,8.3,76000
Bramayugam,139m,7.7,16000
Manjummel Boys,135m,8.2,31000
Amaran,167m,8.1,22000
Meiyazhagan,177m,8.4,20000
Black,115m,7.1,3100
Vaazhai,134m,7.7,5300
The Greatest Of All Time,183m,5.7,25000
Lover,145m,7.1,3300
Maya Puthagam,122m,5.0,437
Kanguva,152m,4.5,16000
Thangalaan,156m,6.5,7000
Raayan,145m,6.5,13000
Merry Christmas,144m,6.9,30000
Por,154m,5.1,643
Captain Miller,157m,7.1,14000
Demonte Colony,144m,6.5,4700
Vadakkan,112m,6.8,6000
Vettaiyan,163m,6.9,41000
Thiru.Manickam,122m,8.0,2700
Ayalaan,155m,5.9,4300
Lubber Pandhu,146m,8.1,8400
Rasavathi,148m,6.4,635
Kadaisi Ulaga Por,140m,6.1,1300
Viduthalai Part,170m,7.7,18000
Max,132m,7.1,3700
Indian,,3.8,17000
Pechi,110m,5.5,1700
The Smile Man,122m,7.1,2400
Siren,154m,6.4,3000
Garudan,133m,7.1,3500
Nirangal Moondru,122m,6.1,642
Romeo,150m,6.1,1400
Kalvan,142m,5.7,1000
Star,158m,6.5,2300
Aranmanai,148m,5.0,2500
Quotation Gang Part,118m,8.8,39
Happy Birthday Luci,99m,9.3,63
Vadakkupatti Ramasamy,146m,7.5,3100
Seven Seas Seven Hills,90m,8.3,110
Lal Salaam,150m,4.5,1600
Sir,132m,7.8,2300
Rebel,150m,4.4,633
Do Aur Do Pyaar,140m,6.4,12000
Sattam En Kaiyil,124m,7.9,2300
Rathnam,155m,5.4,3700
Hitler,128m,5.2,332
Pogumidam Vegu Thooramillai,133m,7.3,4000
Brother,140m,6.1,2400
Sorgavaasal,138m,6.6,1500
Weapon,120m,5.7,7200
Hit List,125m,5.7,375
Mazhai Pidikatha Manithan,133m,4.5,443
Miss You,128m,6.1,3200
Bloody Beggar,134m,6.2,5100
Athomugam,130m,7.0,664
Blue Star,166m,6.9,1600
Deepavali Bonus,120m,6.7,131
Mayan,113m,8.7,140
Dear,132m,5.3,2400
Hot Spot,122m,7.3,996
White Rose,117m,4.3,477
Jama,133m,7.9,1700
Mission: Chapter,144m,5.9,1700
Little Jaffna,100m,6.5,258
The Adamant Girl,100m,6.6,1500
J Baby,145m,7.2,839
Andhagan,142m,6.6,1300
Pt Sir,130m,6.8,1800
Oru Nodi,128m,6.7,532
Guardian,120m,4.0,684
Alangu,131m,7.8,1700
Jolly O Gymkhana,129m,7.1,1500
Nilgiris: A Shared Wilderness,75m,9.0,97
Uyir Thamizhukku,130m,6.0,114
Thookudurai,125m,4.2,2300
Singapore Saloon,137m,6.0,1300
Magic,90m,7.3,7
Soodhu Kavvum 2: Naatum Naatu Makkalum,129m,3.8,231
Emakku Thozhil Romance,111m,4.8,136
Nandhan,110m,7.3,2000
Raghu Thatha,134m,6.2,617
Vasco Da Gama,125m,5.5,3300
Family Padam,131m,6.8,998
Ninaivellam Neeyada,155m,5.2,32
Boat,126m,5.4,1000
Nanban Oruvan Vantha Piragu,134m,6.3,6900
Minmini,115m,7.2,1500
Petta Rap,123m,3.8,1700
Idi Minnal Kadhal,131m,5.0,211
Joshua: Imai Pol Kaka,130m,4.5,592
Once Upon A Time In Madras,121m,5.8,376
Antha Naal,98m,7.8,1200
Devil,118m,4.6,1600
Inga Naan Thaan Kingu,132m,5.3,463
The Boys,131m,4.7,145
Mangai,118m,5.5,13
Election,120m,5.9,813
Parari,146m,4.5,1200
Pon Ondru Kanden,120m,5.6,300
Kodaikanal,173m,9.3,78
7/G,140m,4.2,648
Ben And Suzanne: A Reunion In 4 Parts,110m,8.3,37
Dandupalayam,137m,6.4,2100
Vallavan Vaguthadhada,104m,6.5,64
Kaaduvetty,157m,3.2,150
C4 Cinta,167m,6.8,173
Amigo Garage,,8.0,61
Chiclets,132m,7.8,141
Ranam Aram Thavarel,121m,5.9,825
Haraa,136m,5.2,2900
Neela Nira Sooriyan (Blue Sunshine),98m,6.3,116
Rajakili,122m,4.9,637
Bairi,140m,7.0,519
Veerayi Makkal,136m,8.4,526
Xyz,108m,,
Parakramam,131m,6.2,3100
Glassmates,126m,8.9,73
Saamaniyan,146m,7.0,85
Angammal,117m,9.1,45
Finder,111m,6.1,88
Kavundampalayam,133m,2.8,145
Birthmark,117m,4.4,193
Exit,107m,8.7,60
Teenz,122m,4.4,875
Double Tuckerr,120m,5.3,1700
Anjaamai,121m,6.7,245
Hmm Hug Me More,102m,7.8,1100
Virunnu,125m,4.0,965
Vijay Llb: The Advocate,125m,6.8,40
Oru Kadha Sollattaa Sir,130m,6.1,42
Operation Laila,123m,5.4,59
Vithaikkaran,128m,4.6,363
Rail,127m,7.0,1100
Iravin Kangal,116m,7.2,174
Vaagai,119m,7.2,179
Yavarum Vallavare,125m,4.3,44
Singappenney,124m,5.1,23
Emagadhagan,102m,8.0,153
Adharma Kadhaigal,131m,6.1,1200
Seeran,128m,5.0,17
Agrinai,93m,7.9,70
Veppam Kulir Mazhai,132m,6.9,2200
Aalan,137m,5.6,1100
Il Tha Ka Sai Aa,104m,4.9,13
Marakkuma Nenjam,137m,5.3,3200
E-Mail,119m,5.2,810
Sevappi,113m,5.1,214
P,105m,4.5,11
Then Chennai,122m,8.5,82
Local Sarakku,133m,4.2,2200
Boomer Uncle,117m,3.0,100
Aaragan,104m,5.0,1100
Kozhipannai Chelladurai,122m,5.9,225
Pithala Maathi,140m,7.3,845
Park,117m,6.8,382
Bayamariya Brammai,88m,6.9,38
Sathur,,7.9,10
Irani,,8.3,7
Scene Number,126m,5.0,93
Paraman,132m,8.2,28
