Title,Year,RunTime,Censor Rating,IMDB RATING,No Of Voters Voted ,Description
 Mahavatar Narsimha,2024,2h 10m,TV-14,8.7,42K,The demon Hiranyakashyap seeks revenge on Vishnu and declares himself a god. His son Prahlad remains devoted to Vishnu. Vishnu manifests as Narsimha to defeat the demon and restore balance.
 Maharaja,2024,2h 21m,N/a,8.3,76K,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds."
 Bramayugam,2024,2h 19m,N/a,7.7,16K,"Thevan, a folk singer of the Paanan caste, has a fateful encounter when escaping slavery, leading to him discovering an ancient traditional mansion altering his destiny."
 Manjummel Boys,2024,2h 15m,N/a,8.2,31K,"A group of friends get into a daring rescue mission to save their friend from Guna Caves, a perilously deep pit from where nobody has ever been brought back."
 Amaran,2024,2h 47m,N/a,8.1,22K,"The life of Major Mukund Varadarajan and is set against the backdrop of the Qazipathri Operation in Shopian, Kashmir, which took place back in 2014."
 Meiyazhagan,2024,2h 57m,N/a,8.4,20K,A man's life is changed when he bumps into someone from his hometown in this moving Tamil-language drama; gentle scenes are occasionally punctuated by sporting threat and recollections of violence.
 Black,2024,1h 55m,N/a,7.1,3.1K,"A young couple move into a serene row house, eager for peace and privacy. A violent storm and unsettling forces unravel their marriage. Vasanth must uncover the truth behind these supernatural occurrences before everything falls apart."
 Vaazhai,2024,2h 14m,N/a,7.7,5.3K,"A twelve-year-old boy, Sivanandhan, his mother, sister, and friend navigate life's challenges, where a plantain tree, Vaazhai, becomes a central presence."
 The Greatest of All Time,2024,3h 3m,N/a,5.7,25K,"Gandhi is a hostage negotiator, field agent, and spy working for the Special Anti-Terrorist Squad (SATS). After years of service, he is called back for a critical mission that sets him on a dangerous collision course with his own past."
 Lover,2024,2h 25m,N/a,7.1,3.3K,"Arun and Divya's six-year relationship starts unraveling as they drift apart, raising the question of whether love can withstand such differences."
 Maya Puthagam,2024,2h 2m,N/a,5.0,437,"After a strange dream about a dragon, Assistant Director Guru receives a mystical book from a Swamiji, who directs him to Gandhara Hill Selvapuri Palace to meet producer Sambasivam and bring the story to life."
 Kanguva,2024,2h 32m,N/a,4.5,16K,A tribal warrior's fierce struggle to save his people a millennium ago is mysteriously linked to a bounty hunter's perilous quest in the present.
 Thangalaan,2024,2h 36m,N/a,6.5,7K,"Based on the true events that revolve around the lives of mine workers in the Kolar Gold Fields, Karnataka."
 Raayan,2024,2h 25m,N/a,6.5,13K,"A series of unfortunate events lead Raayan, a simple man to be dragged into the dreaded world of crime and manipulation."
 Merry Christmas,2024,2h 24m,N/a,6.9,30K,Two strangers meet on a fateful Christmas Eve. A night of delirious romance turns into a nightmare. Revealing anything more would be a crime.
 Por,2024,2h 34m,N/a,5.1,643,"Journey that delves deep into the complexities of friendship. Set against the backdrop of a vibrant college festival, the movie explores the intricate dynamics between two friends whose paths diverge and ignite a fierce competition."
 Captain Miller,2024,2h 37m,Not Rated,7.1,14K,A man leaves and turns against the British-led Indian military after witnessing atrocity.
 Demonte Colony ,2024,2h 24m,N/a,6.5,4.7K,"A group of friends who return to a cursed location, driven by curiosity and the quest to uncover the truth behind the malevolent spirits that reside there."
 Vadakkan,2024,1h 52m,N/a,6.8,6K,"A paranormal investigator based in Helsinki ventures to Kerala to probe a series of mysterious deaths during a reality TV show shoot and confronts an unspeakable entity from a Dravidian cult practice, lurking on a mysterious island."
 Vettaiyan,2024,2h 43m,N/a,6.9,41K,Ruthless criminal activity is met with force from a maverick police officer with a disregard for the rules as he confronts an outbreak of lawlessness.
